form,gloss_id
ὁ,16
τοῦ,16
τὸν,16
τῷ,16
οἱ,16
τῶν,16
τοὺς,16
τοῖς,16
ἡ,16
τῆς,16
τὴν,16
τῇ,16
αἱ,16
τὰς,16
ταῖς,16
τὸ,16
τὰ,16
οὗτος,16
τοῦτο,16
ταῦτα,16
ἐκεῖνο,16
ἀεί,260
ἀεὶ,260
ἀλλ,54
ἀλλ',54
ἀλλ᾽,54
ἀλλὰ,54
ἀλλά,54
ἅμα,191
ἄν,78
ἂν,78
ἆρα,28
αὖ,483
γὰρ,29
γάρ,29
γε,135
δ',30
δ᾽,30
δ,30
δέ,30
δὲ,30
δὴ,59
δή,59
διά,61
διὰ,61
ἐγώ,392
ἐγὼ,392
εἰ,88
εἴ,88
εἰς,6
εἴτε,488
ἐκ,7
ἐξ,7
ἐν,8
ἐπεί,64
ἐπεὶ,64
ἐπειδή,65
ἐπειδὴ,65
ἔπειτα,193
ἐπί,333
ἐπὶ,333
ἐπ,333
ἐς,6
ἔτι,367
εὖ,32
ἢ,34
ἤ,34
ἤδη,640
καὶ,11
καί,11
καίτοι,93
κατά,146
κατὰ,146
μάλα,515
μᾶλλον,310
με,392
μέ,392
μέν,39
μὲν,39
μέντοι,598
μετά,96
μετὰ,96
μή,69
μὴ,69
μηδέ,312
μηδὲ,312
μὴν,555
μήν,555
μήτε,196
μοι,392
νῦν,40
ὅπως,348
ὅταν,282
ὅτι,435
οὐ,42
οὐκ,42
οὖν,182
οὔτε,200
οὐχ,42
παρά,44
παρὰ,44
περί,74
περὶ,74
που,319
πρίν,521
πρὶν,521
πρός,320
πρὸς,320
πῶς,284
σοι,408
σε,408
σὲ,408
σέ,408
σύ,408
σὺ,408
τ,157
τε,157
τι,414
τότε,286
ὑπό,131
ὑπὸ,131
χρή,537
χρὴ,537
ὦ,25
ὡς,76
ὥστε,259
